u,g,r,i,z,y,redshift,mstar
27.3265,28.0961,26.9499,26.5644,25.9008,26.329,1.04269,8.55112903825338
24.4039,24.1884,23.7592,23.2624,23.0898,22.9824,0.697555,9.08949180545063
27.9983,28.4754,27.0096,25.3269,24.6385,23.6477,1.34356,10.8800884010937
28.2132,27.6715,27.6121,26.7741,27.0114,26.9872,1.50797,8.53587237216214
27.6248,27.0859,27.1201,26.6197,26.9315,26.5275,0.709295,7.0558483078093
21.7878,21.5674,21.6312,21.5788,21.7251,21.7235,0.1011,7.27501173777801
27.6086,27.4382,27.1179,26.5018,26.3631,25.5644,0.710533,7.68022942017638
27.7442,26.5273,25.3284,24.2929,23.8913,23.5018,0.714255,9.60748397521507
27.6527,26.7195,26.4542,25.9629,25.7768,25.8174,0.721063,7.90686438591915
99,28.139,26.1012,24.7264,23.8945,23.0211,1.13751,10.8210973758474
25.407,25.481,25.373,25.433,25.5681,25.1524,0.566905,7.06333335895175
99,28.5876,27.8634,26.181,25.5277,24.4149,1.44286,10.3903910156074
24.7196,24.0874,23.204,22.9337,22.653,22.574,0.369545,8.8243998673482
23.5637,22.4595,21.2044,20.4698,20.1299,19.8258,0.526427,10.7756839769746
99,28.4716,26.9375,26.5742,26.1227,25.8214,0.536801,8.02816848964422
28.627,28.1784,27.8554,26.9519,26.4896,25.6141,1.00198,8.37376319516712
27.1008,27.4362,26.7564,26.0956,25.5415,26.1031,0.869102,8.07337370999559
27.8052,27.7706,27.0315,26.5132,27.0375,25.545,1.21045,8.7073257102147
25.3542,25.3187,25.2852,25.0994,24.6638,24.6017,1.12787,8.75067035726023
99,28.0202,27.4924,26.5231,26.0617,26.8667,0.724991,7.91223906650948
26.3833,25.97,24.9425,24.1863,23.9119,23.6609,0.608117,9.19112950639273
27.6789,27.6552,26.8241,26.1341,25.6632,25.573,0.940105,8.50533994060452
28.5764,25.6153,23.8966,22.6541,22.1673,21.7437,0.665966,10.7015360377659
23.8003,22.9473,21.9315,21.3485,21.1661,20.9961,0.589165,9.96879198153161
26.8368,27.1502,27.0771,26.9132,26.7179,32.1279,0.609515,7.14781848991039
27.3637,26.81,26.1067,25.5357,25.298,24.6991,1.65679,9.95084319116574
26.0385,26.0566,25.8478,25.6959,25.6096,26.0402,0.692964,7.62183760953948
26.7753,26.781,26.5363,26.5331,26.4541,26.4267,0.540771,6.61717758940829
27.1809,26.9956,26.5208,25.828,25.6689,25.5156,0.787337,8.11248769937603
27.901,27.1805,27.411,26.9372,27.1438,26.4163,0.880411,7.11623903486177
27.3987,26.8723,26.838,26.503,26.7222,26.0894,1.43858,7.75417550105517
26.6807,26.4854,26.0333,25.4345,25.0332,24.4261,1.28744,9.4002270510439
99,28.4224,27.3601,26.9687,26.4495,25.3678,1.26124,9.50035450343007
23.0962,21.6487,20.3086,19.7657,19.4781,19.2145,0.300217,10.6199381298997
26.0598,26.3076,26.222,26.1906,25.8002,26.857,0.750145,7.16040249653023
26.9113,26.2826,25.4151,25.2508,24.9909,24.686,0.383538,7.75433839575877
24.3619,22.4772,20.9369,20.3784,20.0651,19.8532,0.362304,10.5690987302613
26.9987,26.4091,25.6018,24.6409,24.0407,23.7955,0.954994,9.34792688188681
26.9379,26.2776,24.9557,24.6107,24.5009,24.1172,0.471403,8.37404043742999
24.8877,24.4247,23.5824,22.8036,22.5019,22.1999,0.646311,9.86352270857793
27.8094,26.9016,26.3085,25.6006,25.2929,25.318,0.87068,8.63280944419762
23.609,23.2007,22.5944,22.3546,22.2759,22.0232,0.511131,8.9767281595426
28.814,28.7493,26.8094,26.6603,26.2801,25.6913,0.534354,7.80099941533632
27.2717,27.3912,27.046,26.753,25.7898,25.6595,1.52131,10.0735313985639
26.7399,26.7917,26.5757,26.1587,25.6938,25.8704,1.58034,10.3879341331007
27.9396,27.4275,27.242,26.8208,27.0994,26.4064,0.5997,7.12368180841827
28.0908,27.7609,27.4692,26.6987,26.8996,26.9485,0.487815,6.78750510607876
28.4262,28.1026,26.9129,25.8851,25.0088,24.4617,1.16885,9.87230548119095
29.5422,28.1295,27.0149,26.8326,27.1444,99,0.487028,7.29832461801245
27.1274,26.7848,26.236,25.4895,25.0991,24.7324,1.53978,10.0275086160782
28.6501,28.1324,27.3319,26.5201,26.5992,26.5943,0.607838,7.86237768805353
26.8484,27.2735,26.747,26.2125,26.1539,25.5416,0.868002,8.21157169532646
28.022,26.5917,25.9309,25.499,25.2938,24.6297,0.774683,8.43744454687508
27.9823,26.3049,25.8614,25.0524,24.8802,24.7504,0.847357,8.57689049483305
99,27.2263,26.7879,26.023,25.7545,25.823,0.737623,7.78128493335828
27.4163,26.3004,25.3093,24.6906,23.9057,23.4769,1.14469,9.86313065716056
24.1893,23.2829,22.9114,22.6979,22.6395,22.5738,0.114266,7.59137295797505
26.7014,25.5614,24.6501,23.7998,23.5287,23.1889,0.727623,9.38013342364552
23.4659,22.6802,22.2798,22.0412,21.9624,21.8863,0.153186,8.10218664329756
26.1775,25.9133,25.1142,24.8777,24.8846,24.9746,0.422281,7.77297998535858
27.0936,27.5884,27.1921,26.8254,26.3158,26.4481,0.744635,7.66546184854475
26.5249,26.3905,25.6663,24.9,24.7042,24.9363,0.81276,8.715766087238
28.3165,28.224,27.0378,25.8258,25.1517,25.4384,0.699514,9.16700110052949
28.1107,27.9167,27.6465,26.7457,26.5209,25.9283,0.707966,7.60565729604312
26.4259,26.2339,25.5858,25.335,25.1515,25.7736,0.307825,7.54830218190886
28.3022,28.0309,26.3938,25.1547,24.297,23.5677,1.1958,10.5057873803626
25.3446,24.6345,23.2813,22.1935,21.478,21.1532,0.873492,10.9968263340747
99,28.1668,27.7418,26.6149,27.0233,99,0.713573,7.6352283226472
28.4339,27.8423,26.493,26.2062,25.8877,25.6096,0.479617,8.18675297705077
27.877,27.1359,25.9487,24.998,24.2051,23.6344,1.04766,10.1639600283726
26.2485,25.9222,25.4358,24.9902,24.3701,23.9968,1.11025,9.12956100230908
28.2345,26.875,26.3511,26.1062,25.8903,30.2955,0.316715,7.25438370530172
25.7668,24.7869,23.7295,23.4593,23.2305,23.1416,0.383754,8.63312896723681
28.341,27.3158,27.0307,26.198,25.9307,25.5524,0.917421,8.40043609523518
25.0228,24.8743,24.8134,24.6444,24.2817,23.9279,1.31213,9.26792463500894
26.5485,25.4903,24.4497,24.0404,23.8431,23.6795,0.449435,8.67548138065023
27.7661,26.5051,25.6528,24.8922,24.576,24.4382,0.798109,8.87564803296432
26.4799,26.3693,25.9138,25.1442,24.8603,24.5604,0.860202,8.9017927682592
